homework1,S=100
The Linf error for N = 26 dofs, h=2.0000e+00, is 3.5046e-04.
The L2   error for N = 26 dofs, h=2.0000e+00, is 1.3380e-03.
The H1   error for N = 26 dofs, h=2.0000e+00, is 2.5038e-03.
The Linf error for N = 51 dofs, h=1.0000e+00, is 8.7601e-05.
The L2   error for N = 51 dofs, h=1.0000e+00, is 3.3460e-04.
The H1   error for N = 51 dofs, h=1.0000e+00, is 1.1100e-03.
The Linf error for N = 101 dofs, h=5.0000e-01, is 2.1907e-05.
The L2   error for N = 101 dofs, h=5.0000e-01, is 8.3654e-05.
The H1   error for N = 101 dofs, h=5.0000e-01, is 5.3578e-04.
The Linf error for N = 201 dofs, h=2.5000e-01, is 5.4773e-06.
The L2   error for N = 201 dofs, h=2.5000e-01, is 2.0913e-05.
The H1   error for N = 201 dofs, h=2.5000e-01, is 2.6543e-04.
homework1,S=1000
The Linf error for N = 26 dofs, h=2.0000e+00, is 3.4891e-04.
The L2   error for N = 26 dofs, h=2.0000e+00, is 1.3317e-03.
The H1   error for N = 26 dofs, h=2.0000e+00, is 2.4958e-03.
The Linf error for N = 51 dofs, h=1.0000e+00, is 8.7211e-05.
The L2   error for N = 51 dofs, h=1.0000e+00, is 3.3302e-04.
The H1   error for N = 51 dofs, h=1.0000e+00, is 1.1069e-03.
The Linf error for N = 101 dofs, h=5.0000e-01, is 2.1810e-05.
The L2   error for N = 101 dofs, h=5.0000e-01, is 8.3260e-05.
The H1   error for N = 101 dofs, h=5.0000e-01, is 5.3437e-04.
The Linf error for N = 201 dofs, h=2.5000e-01, is 5.4529e-06.
The L2   error for N = 201 dofs, h=2.5000e-01, is 2.0815e-05.
The H1   error for N = 201 dofs, h=2.5000e-01, is 2.6475e-04.
homework1,S=10000
The Linf error for N = 26 dofs, h=2.0000e+00, is 3.3395e-04.
The L2   error for N = 26 dofs, h=2.0000e+00, is 1.2712e-03.
The H1   error for N = 26 dofs, h=2.0000e+00, is 2.4187e-03.
The Linf error for N = 51 dofs, h=1.0000e+00, is 8.3471e-05.
The L2   error for N = 51 dofs, h=1.0000e+00, is 3.1787e-04.
The H1   error for N = 51 dofs, h=1.0000e+00, is 1.0771e-03.
The Linf error for N = 101 dofs, h=5.0000e-01, is 2.0874e-05.
The L2   error for N = 101 dofs, h=5.0000e-01, is 7.9471e-05.
The H1   error for N = 101 dofs, h=5.0000e-01, is 5.2067e-04.
The Linf error for N = 201 dofs, h=2.5000e-01, is 5.2190e-06.
The L2   error for N = 201 dofs, h=2.5000e-01, is 1.9868e-05.
The H1   error for N = 201 dofs, h=2.5000e-01, is 2.5805e-04.
homework2,S=100
The Linf error for N = 26 dofs, h=2.0000e+00, is 5.6114e-07.
The L2   error for N = 26 dofs, h=2.0000e+00, is 2.9328e-06.
The H1   error for N = 26 dofs, h=2.0000e+00, is 5.4875e-06.
The Linf error for N = 51 dofs, h=1.0000e+00, is 1.4029e-07.
The L2   error for N = 51 dofs, h=1.0000e+00, is 7.3320e-07.
The H1   error for N = 51 dofs, h=1.0000e+00, is 2.4322e-06.
The Linf error for N = 101 dofs, h=5.0000e-01, is 3.5073e-08.
The L2   error for N = 101 dofs, h=5.0000e-01, is 1.8330e-07.
The H1   error for N = 101 dofs, h=5.0000e-01, is 1.1739e-06.
The Linf error for N = 201 dofs, h=2.5000e-01, is 8.7682e-09.
The L2   error for N = 201 dofs, h=2.5000e-01, is 4.5825e-08.
The H1   error for N = 201 dofs, h=2.5000e-01, is 5.8157e-07.
homework2,S=1000
The Linf error for N = 26 dofs, h=2.0000e+00, is 5.6093e-07.
The L2   error for N = 26 dofs, h=2.0000e+00, is 2.9214e-06.
The H1   error for N = 26 dofs, h=2.0000e+00, is 5.4731e-06.
The Linf error for N = 51 dofs, h=1.0000e+00, is 1.4026e-07.
The L2   error for N = 51 dofs, h=1.0000e+00, is 7.3035e-07.
The H1   error for N = 51 dofs, h=1.0000e+00, is 2.4266e-06.
The Linf error for N = 101 dofs, h=5.0000e-01, is 3.5069e-08.
The L2   error for N = 101 dofs, h=5.0000e-01, is 1.8259e-07.
The H1   error for N = 101 dofs, h=5.0000e-01, is 1.1714e-06.
The Linf error for N = 201 dofs, h=2.5000e-01, is 8.7678e-09.
The L2   error for N = 201 dofs, h=2.5000e-01, is 4.5647e-08.
The H1   error for N = 201 dofs, h=2.5000e-01, is 5.8033e-07.
homework2,S=10000
The Linf error for N = 26 dofs, h=2.0000e+00, is 5.5883e-07.
The L2   error for N = 26 dofs, h=2.0000e+00, is 2.8125e-06.
The H1   error for N = 26 dofs, h=2.0000e+00, is 5.3343e-06.
The Linf error for N = 51 dofs, h=1.0000e+00, is 1.3999e-07.
The L2   error for N = 51 dofs, h=1.0000e+00, is 7.0312e-07.
The H1   error for N = 51 dofs, h=1.0000e+00, is 2.3729e-06.
The Linf error for N = 101 dofs, h=5.0000e-01, is 3.5036e-08.
The L2   error for N = 101 dofs, h=5.0000e-01, is 1.7578e-07.
The H1   error for N = 101 dofs, h=5.0000e-01, is 1.1467e-06.
The Linf error for N = 201 dofs, h=2.5000e-01, is 8.7635e-09.
The L2   error for N = 201 dofs, h=2.5000e-01, is 4.3945e-08.
The H1   error for N = 201 dofs, h=2.5000e-01, is 5.6828e-07.
homework3,S=100
The Linf error for N = 26 dofs, h=2.0000e+00, is 3.5018e-04.
The L2   error for N = 26 dofs, h=2.0000e+00, is 1.3366e-03.
The H1   error for N = 26 dofs, h=2.0000e+00, is 2.5020e-03.
The Linf error for N = 51 dofs, h=1.0000e+00, is 8.7532e-05.
The L2   error for N = 51 dofs, h=1.0000e+00, is 3.3424e-04.
The H1   error for N = 51 dofs, h=1.0000e+00, is 1.1093e-03.
The Linf error for N = 101 dofs, h=5.0000e-01, is 2.1890e-05.
The L2   error for N = 101 dofs, h=5.0000e-01, is 8.3564e-05.
The H1   error for N = 101 dofs, h=5.0000e-01, is 5.3546e-04.
The Linf error for N = 201 dofs, h=2.5000e-01, is 5.4730e-06.
The L2   error for N = 201 dofs, h=2.5000e-01, is 2.0890e-05.
The H1   error for N = 201 dofs, h=2.5000e-01, is 2.6528e-04.
homework3,S=1000
The Linf error for N = 26 dofs, h=2.0000e+00, is 3.4619e-04.
The L2   error for N = 26 dofs, h=2.0000e+00, is 1.3176e-03.
The H1   error for N = 26 dofs, h=2.0000e+00, is 2.4779e-03.
The Linf error for N = 51 dofs, h=1.0000e+00, is 8.6544e-05.
The L2   error for N = 51 dofs, h=1.0000e+00, is 3.2948e-04.
The H1   error for N = 51 dofs, h=1.0000e+00, is 1.1000e-03.
The Linf error for N = 101 dofs, h=5.0000e-01, is 2.1642e-05.
The L2   error for N = 101 dofs, h=5.0000e-01, is 8.2375e-05.
The H1   error for N = 101 dofs, h=5.0000e-01, is 5.3119e-04.
The Linf error for N = 201 dofs, h=2.5000e-01, is 5.4106e-06.
The L2   error for N = 201 dofs, h=2.5000e-01, is 2.0594e-05.
The H1   error for N = 201 dofs, h=2.5000e-01, is 2.6319e-04.
homework3,S=10000
The Linf error for N = 26 dofs, h=2.0000e+00, is 3.1151e-04.
The L2   error for N = 26 dofs, h=2.0000e+00, is 1.1577e-03.
The H1   error for N = 26 dofs, h=2.0000e+00, is 2.2687e-03.
The Linf error for N = 51 dofs, h=1.0000e+00, is 7.7967e-05.
The L2   error for N = 51 dofs, h=1.0000e+00, is 2.8951e-04.
The H1   error for N = 51 dofs, h=1.0000e+00, is 1.0178e-03.
The Linf error for N = 101 dofs, h=5.0000e-01, is 1.9496e-05.
The L2   error for N = 101 dofs, h=5.0000e-01, is 7.2384e-05.
The H1   error for N = 101 dofs, h=5.0000e-01, is 4.9327e-04.
The Linf error for N = 201 dofs, h=2.5000e-01, is 4.8741e-06.
The L2   error for N = 201 dofs, h=2.5000e-01, is 1.8096e-05.
The H1   error for N = 201 dofs, h=2.5000e-01, is 2.4464e-04.
homework4,S=100
The Linf error for N = 26 dofs, h=2.0000e+00, is 5.6112e-07.
The L2   error for N = 26 dofs, h=2.0000e+00, is 2.9290e-06.
The H1   error for N = 26 dofs, h=2.0000e+00, is 5.4827e-06.
The Linf error for N = 51 dofs, h=1.0000e+00, is 1.4029e-07.
The L2   error for N = 51 dofs, h=1.0000e+00, is 7.3225e-07.
The H1   error for N = 51 dofs, h=1.0000e+00, is 2.4303e-06.
The Linf error for N = 101 dofs, h=5.0000e-01, is 3.5072e-08.
The L2   error for N = 101 dofs, h=5.0000e-01, is 1.8306e-07.
The H1   error for N = 101 dofs, h=5.0000e-01, is 1.1731e-06.
The Linf error for N = 201 dofs, h=2.5000e-01, is 8.7681e-09.
The L2   error for N = 201 dofs, h=2.5000e-01, is 4.5766e-08.
The H1   error for N = 201 dofs, h=2.5000e-01, is 5.8115e-07.
homework4,S=1000
The Linf error for N = 26 dofs, h=2.0000e+00, is 5.6068e-07.
The L2   error for N = 26 dofs, h=2.0000e+00, is 2.8841e-06.
The H1   error for N = 26 dofs, h=2.0000e+00, is 5.4258e-06.
The Linf error for N = 51 dofs, h=1.0000e+00, is 1.4023e-07.
